"Club Type","Club Brand","Club Model","Carry Distance","Total Distance","Ball Speed","Launch Angle","Launch Direction","Apex","Side Carry","Club Speed","Smash Factor","Descent Angle","Attack Angle","Club Path","Club Data Est Type","Spin Rate","Spin Axis"
"7i",,,"63.1","99.3","132.3","13.6","-7.6","4.1","-11.8","115.6","1.14","15.8","-1.3","-7.0",0,"762","-61.9"
"7i",,,"103.5","113.0","145.7","15.1","-2.0","12.1","-0.5","122.7","1.19","32.5","-5.3","-4.7",0,"6567","3.0"
"7i",,,"102.9","111.9","142.5","18.6","-0.2","14.8","6.6","126.3","1.13","37.3","-6.1","-5.9",0,"6698","9.2"
"7i",,,"116.1","127.6","158.7","13.6","0.7","13.3","11.6","128.1","1.24","33.1","-5.1","-4.8",0,"6293","11.6"
"7i",,,"117.8","131.6","160.3","11.8","-5.1","11.3","-4.3","127.2","1.26","28.5","-4.1","-4.4",0,"4840","6.7"
"7i",,,"104.5","126.5","162.5","8.0","-2.2","6.5","9.1","129.0","1.26","19.5","-5.1","-6.0",0,"4874","22.0"
"7i",,,"100.2","113.9","150.3","11.4","2.9","8.5","16.0","129.0","1.17","25.2","-4.9","-3.5",0,"5693","17.9"
"7i",,,"134.9","144.1","170.2","20.5","0.1","25.9","6.9","130.7","1.30","46.5","-3.9","-4.1",0,"5712","4.6"
"7i",,,"125.9","135.3","163.9","16.2","-5.0","18.4","-12.1","128.1","1.28","39.5","-5.8","-5.9",0,"6233","-2.9"
"7i",,,"135.2","144.9","169.9","21.0","-2.5","26.3","2.3","133.4","1.27","46.8","-4.8","-5.9",0,"5432","6.2"
"7i",,,"141.4","153.3","174.8","17.5","-6.8","23.2","-13.5","131.6","1.33","42.9","-5.5","-6.7",0,"5059","1.3"
"7i",,,"136.2","148.0","169.2","17.8","-7.2","21.7","-17.9","129.9","1.30","41.7","-6.1","-6.1",0,"4900","-2.3"
"7i",,,"123.2","140.7","163.3","14.8","-9.2","12.1","-34.3","131.6","1.24","27.3","-2.6","-3.1",0,"2866","-27.4"
"7i",,,"131.2","141.4","168.3","15.9","-6.4","19.2","-14.8","130.7","1.29","39.8","-5.9","-4.6",0,"5883","-1.9"
"7i",,,"71.9","99.7","126.0","14.6","-1.3","5.4","1.9","129.0","0.98","18.7","-2.5","-4.1",0,"1345","17.6"
"7i",,,"109.8","119.3","150.4","15.8","-3.3","14.0","-1.2","131.6","1.14","35.0","-5.2","-5.9",0,"6469","5.5"
"7i",,,"117.0","129.6","160.1","12.8","-3.4","12.7","3.0","129.9","1.23","31.7","-7.2","-5.6",0,"5962","11.2"
"7i",,,"133.4","146.1","167.4","16.0","-6.1","18.5","-18.0","126.3","1.33","38.0","-6.6","-4.6",0,"4740","-5.8"
"7i",,,"10.4","96.1","161.1","0.5","-4.8","0.0","-0.7","128.1","1.26","0.5","-4.2","-4.7",0,"2514","21.9"
"7i",,,"145.0","158.2","174.6","17.0","-6.9","21.6","-24.6","129.0","1.35","40.0","-3.4","-3.0",0,"4091","-8.3"
"7i",,,"77.7","105.0","137.9","13.5","-7.5","5.4","-14.6","128.1","1.08","17.3","-2.2","-3.8",0,"1352","-34.6"
"7i",,,"82.5","125.0","165.6","3.3","-1.8","2.1","4.4","129.0","1.28","8.4","-6.9","-5.8",0,"4463","19.1"
"7i",,,"124.1","137.8","159.4","15.4","-7.0","15.4","-9.6","129.9","1.23","34.5","-7.2","-6.6",0,"4488","5.2"
"7i",,,"143.4","156.1","174.6","17.3","-5.2","22.5","-17.2","128.1","1.36","41.7","-5.4","-3.3",0,"4587","-5.3"
"7i",,,"138.8","149.0","172.5","19.6","-3.3","25.4","-5.0","130.7","1.32","45.4","-4.5","-3.1",0,"5215","1.3"
"7i",,,"122.0","131.3","161.0","15.8","-3.5","17.0","-6.2","133.4","1.21","38.1","-5.9","-3.9",0,"6458","-0.3"
"7i",,,"129.4","142.4","160.0","17.9","-2.5","18.2","-6.2","125.4","1.28","37.2","-4.2","-2.8",0,"3862","-2.5"
"7i",,,"140.8","150.8","175.5","19.0","-5.3","25.7","-11.4","129.9","1.35","45.7","-5.8","-4.4",0,"5492","-0.1"
"7i",,,"125.9","136.1","163.7","15.8","-2.4","17.6","1.0","130.7","1.25","38.3","-5.1","-3.4",0,"5895","5.3"
"7i",,,"111.4","126.7","147.7","16.0","-1.8","12.3","-6.1","125.4","1.18","30.0","-3.9","-0.8",0,"3451","-6.7"
"7i",,,"129.3","140.5","161.6","20.3","-0.1","22.4","7.1","130.7","1.24","43.2","-3.2","-2.3",0,"4730","6.2"
"7i",,,"129.6","139.8","164.6","18.7","-3.1","21.5","-2.2","127.2","1.29","42.5","-6.4","-3.4",0,"5466","3.5"
"7i",,,"128.8","139.4","163.9","18.2","-1.5","20.6","-0.0","124.5","1.32","41.5","-6.4","-4.7",0,"5424","2.0"
"7i",,,"126.5","136.4","161.5","19.5","-1.5","21.4","2.3","124.5","1.30","42.8","-5.6","-4.3",0,"5465","4.4"
"7i",,,"106.7","116.2","147.2","16.9","-1.7","14.2","4.6","124.5","1.18","35.8","-7.4","-5.8",0,"6636","9.7"
"7i",,,"120.7","129.0","159.5","18.7","0.4","19.9","10.7","129.0","1.24","42.2","-7.5","-4.1",0,"6929","9.7"
"7i",,,"138.3","150.4","169.2","18.2","-3.8","22.1","-10.8","129.9","1.30","41.7","-5.6","-4.1",0,"4505","-3.2"
"7i",,,"122.7","131.4","159.7","18.9","-0.3","20.4","4.1","126.3","1.26","42.3","-6.6","-3.2",0,"6341","3.7"
"7i",,,"123.0","131.7","159.3","20.1","1.2","21.7","8.0","125.4","1.27","43.8","-5.6","-3.9",0,"6128","4.5"
"7i",,,"108.3","121.0","150.6","14.0","-4.3","11.8","-1.4","127.2","1.18","31.0","-6.7","-4.9",0,"5540","8.2"
"7i",,,"127.9","137.4","163.1","19.8","-2.5","22.6","-3.3","128.1","1.27","44.0","-3.7","-2.2",0,"5709","0.7"
"7i",,,"110.1","125.0","148.5","14.9","-3.0","11.7","-7.9","122.7","1.21","29.3","-5.6","-1.5",0,"3868","-5.8"
"7i",,,"101.4","109.8","144.0","17.9","0.5","14.0","12.9","125.4","1.15","36.4","-9.6","-6.5",0,"7801","17.7"
"7i",,,"112.6","123.6","150.2","17.2","-3.3","15.4","-1.9","129.0","1.17","36.5","-6.1","-4.2",0,"5416","4.5"
"7i",,,"124.4","134.1","160.7","17.9","-3.4","19.4","-7.4","121.8","1.32","40.7","-6.4","-4.8",0,"5796","-1.6"
"7i",,,"129.3","138.5","166.1","17.7","-5.1","21.0","-10.3","129.9","1.28","42.3","-4.4","-4.3",0,"6169","-0.4"
"7i",,,"122.5","132.0","159.0","18.6","-2.5","19.6","2.4","126.3","1.26","41.3","-6.5","-5.4",0,"5898","7.2"
"7i",,,"89.9","115.9","141.4","13.7","-7.1","6.6","-10.6","122.7","1.15","19.0","-4.2","-6.4",0,"1610","-2.6"
"7i",,,"112.1","124.9","155.3","13.0","-4.4","11.7","-1.0","126.3","1.23","30.3","-7.5","-6.4",0,"5608","9.0"
"7i",,,"104.5","113.2","145.4","17.9","0.1","14.7","9.0","122.7","1.19","37.1","-7.1","-5.9",0,"7224","11.8"
"7i",,,"122.6","131.7","159.4","18.3","-2.4","19.5","0.2","128.1","1.24","41.3","-7.8","-5.6",0,"6101","4.5"
"7i",,,"130.7","141.4","166.3","17.6","-4.0","20.7","-8.1","127.2","1.31","41.5","-7.2","-4.2",0,"5588","-0.4"
"7i",,,"118.5","127.4","156.5","18.1","-2.2","18.4","0.7","128.1","1.22","40.5","-5.3","-4.4",0,"6547","4.7"
"7i",,,"96.4","106.0","139.5","15.2","0.2","10.8","2.1","124.5","1.12","30.9","-7.2","-5.0",0,"6531","1.2"
"7i",,,"112.2","125.1","155.1","13.0","-4.3","11.7","-1.7","128.1","1.21","30.3","-8.1","-5.3",0,"5472","7.8"
"7i",,,"108.5","117.2","149.1","17.5","0.5","15.3","9.6","122.7","1.22","37.5","-8.1","-3.6",0,"7070","10.7"
"7i",,,"127.1","135.7","163.7","20.3","-3.8","23.6","-5.0","129.0","1.27","45.3","-6.4","-6.4",0,"6347","1.9"
"7i",,,"120.8","133.2","162.4","13.0","-4.9","13.7","-4.2","129.0","1.26","33.0","-7.0","-4.8",0,"5949","5.7"
"7i",,,"113.0","121.0","150.3","21.5","0.1","20.1","10.8","122.7","1.23","43.3","-5.9","-4.4",0,"6390","12.1"
"7i",,,"120.7","134.1","154.3","17.2","-1.6","16.1","-4.7","118.2","1.30","35.8","-6.1","-3.3",0,"4228","-3.6"
"7i",,,"111.7","120.8","152.9","15.6","-4.6","14.5","-2.4","122.7","1.25","35.6","-7.8","-6.2",0,"6868","7.0"
"7i",,,"115.2","126.1","153.6","16.3","-5.5","15.2","-4.7","126.3","1.22","35.9","-6.9","-6.2",0,"5539","6.6"
"7i",,,"121.6","130.8","158.2","18.9","-5.5","19.9","-11.9","127.2","1.24","41.8","-5.4","-6.1",0,"6052","-1.9"
"7i",,,"118.3","130.0","154.3","17.6","-1.7","16.9","1.2","126.3","1.22","37.8","-5.5","-4.2",0,"5092","4.1"
"7i",,,"28.6","89.8","123.3","4.9","-1.5","0.6","-0.3","124.5","0.99","5.4","-2.9","-6.2",0,"1106","2.7"
"7i",,,"102.3","115.1","147.1","13.5","-1.6","10.6","5.2","121.8","1.21","29.4","-8.7","-5.2",0,"6055","11.6"
"7i",,,"118.2","127.5","157.6","16.1","-3.1","16.4","-3.9","128.1","1.23","37.8","-6.7","-6.1",0,"6657","1.3"
"7i",,,"117.3","126.6","154.5","18.3","-0.9","18.0","2.3","119.1","1.30","39.9","-7.8","-3.8",0,"6053","3.3"
"7i",,,"125.9","136.1","161.3","18.5","-5.8","20.1","-8.8","126.3","1.28","41.3","-7.7","-8.6",0,"5433","2.7"
"7i",,,"124.3","138.1","158.9","16.0","-5.6","16.1","-8.4","123.6","1.29","35.6","-6.9","-6.4",0,"4525","2.6"
"7i",,,"127.1","136.8","163.2","18.0","-4.0","20.3","-5.7","125.4","1.30","41.5","-6.8","-6.1",0,"5798","1.7"
"7i",,,"102.9","112.7","144.5","15.9","-4.2","12.5","-0.3","124.5","1.16","33.2","-9.1","-6.5",0,"6247","10.0"
"7i",,,"65.3","88.2","135.1","6.1","4.7","2.7","7.3","121.8","1.11","12.2","-8.0","-4.5",0,"7089","5.0"
"7i",,,"122.7","135.6","159.5","15.9","-4.0","16.1","-0.5","121.8","1.31","36.0","-7.8","-4.8",0,"5004","8.2"
"7i",,,"105.8","117.3","150.3","13.2","-3.9","11.2","-3.9","120.0","1.25","30.5","-9.3","-6.0",0,"6726","3.2"
"7i",,,"119.3","127.8","158.1","17.9","-2.3","18.6","-1.2","125.4","1.26","40.7","-7.8","-6.5",0,"6941","2.6"
"7i",,,"100.4","121.4","148.3","13.1","-6.9","7.6","-14.5","126.3","1.17","20.5","-4.8","-4.9",0,"2259","-10.3"
"7i",,,"120.5","129.4","160.0","16.5","-1.3","17.5","-1.6","125.4","1.28","39.1","-9.0","-5.1",0,"6923","-0.5"
"7i",,,"110.3","119.1","152.1","15.9","-3.2","14.6","-1.9","126.3","1.20","36.2","-7.3","-6.1",0,"7646","4.1"
"7i",,,"126.8","136.4","164.6","16.2","-3.7","18.5","-6.7","128.1","1.29","39.5","-7.3","-4.8",0,"6208","-0.2"
"7i",,,"123.3","134.2","159.2","17.9","-3.4","18.6","-0.4","128.1","1.24","39.8","-6.8","-7.5",0,"5374","6.4"
"7i",,,"117.1","128.6","152.6","17.9","-4.4","16.6","-2.8","123.6","1.23","37.4","-5.9","-8.8",0,"4882","6.3"
"7i",,,"124.8","136.4","160.3","17.3","-2.9","18.3","-7.5","129.0","1.24","39.0","-5.2","-3.4",0,"5144","-3.2"
