"Club Type","Club Brand","Club Model","Carry Distance","Total Distance","Ball Speed","Launch Angle","Launch Direction","Apex","Side Carry","Club Speed","Smash Factor","Descent Angle","Attack Angle","Club Path","Club Data Est Type","Spin Rate","Spin Axis"
"7i",,,"94.9","111.8","127.9","23.6","-3.1","13.0","-8.4","119.1","1.07","32.4","-1.4","-5.0",0,"1461","-15.0"
"7i",,,"50.1","87.8","144.4","3.4","-3.0","0.9","-1.3","112.9","1.28","5.2","-6.4","-2.7",0,"3342","7.1"
"7i",,,"105.5","115.7","144.4","17.5","-3.3","14.2","-1.9","111.1","1.30","35.8","-8.9","-4.5",0,"5879","4.6"
"7i",,,"114.0","128.3","149.5","16.4","-7.4","13.8","-14.0","120.9","1.24","32.8","-3.4","-4.9",0,"4036","-1.1"
"7i",,,"117.0","127.1","153.4","18.8","-2.5","18.1","0.6","120.9","1.27","39.9","-2.8","-4.4",0,"5643","5.4"
"7i",,,"113.6","128.2","150.7","16.0","-7.9","13.2","-23.4","120.9","1.25","31.7","-2.0","-4.1",0,"3897","-14.3"
"7i",,,"119.4","130.2","153.7","19.4","-4.3","18.8","-7.8","121.8","1.26","40.3","-1.6","-4.3",0,"4939","-0.3"
"7i",,,"122.8","131.3","160.4","19.2","-3.2","20.9","-9.9","122.7","1.31","43.1","-3.0","-2.6",0,"6665","-5.1"
"7i",,,"120.6","143.4","150.5","21.4","-2.5","14.3","-3.9","124.5","1.21","28.6","-2.9","-5.3",0,"745","-0.6"
"7i",,,"114.6","122.0","153.5","20.1","-2.4","19.8","0.5","121.8","1.26","42.8","-2.4","-4.0",0,"7541","4.7"
"7i",,,"122.7","130.7","160.2","20.3","-3.0","22.4","-5.9","122.4","1.31","44.7","-5.0","-4.8",0,"6807","-1.0"
"7i",,,"116.8","126.0","154.4","18.3","-6.7","18.0","-15.5","122.7","1.26","40.0","-3.8","-6.3",0,"6221","-4.2"
"7i",,,"125.9","135.2","162.3","18.3","-5.8","20.5","-11.3","128.1","1.27","42.0","-4.5","-4.4",0,"6019","-0.1"
"7i",,,"116.4","122.3","155.9","21.9","-2.2","22.5","-1.3","124.5","1.25","45.8","-2.3","-6.0",0,"8368","2.1"
"7i",,,"128.6","137.4","168.3","17.4","-9.7","20.6","-34.9","126.3","1.33","42.3","-3.6","-7.4",0,"6551","-15.6"
"7i",,,"128.8","137.0","167.2","18.4","-6.5","22.2","-16.5","128.1","1.31","43.9","-3.5","-5.5",0,"6893","-3.4"
"7i",,,"124.7","134.4","160.3","19.5","-4.5","21.0","-2.2","126.3","1.27","42.6","-5.0","-5.0",0,"5627","6.7"
"7i",,,"119.6","131.0","159.6","14.3","-5.7","14.7","-7.8","129.0","1.24","34.8","-4.9","-7.3",0,"5993","3.3"
"7i",,,"101.3","114.8","148.8","11.6","-4.5","8.9","-3.1","127.2","1.17","26.0","-6.2","-5.5",0,"5715","6.2"
"7i",,,"107.4","121.2","140.8","19.4","-5.1","14.5","-8.2","120.0","1.17","34.5","-1.8","-6.0",0,"3566","-0.2"
"7i",,,"114.7","121.3","153.4","22.5","-1.0","22.4","3.4","128.1","1.20","45.9","-5.7","-7.0",0,"7763","4.9"
"7i",,,"117.2","134.7","153.5","16.8","-10.2","13.3","-32.1","129.0","1.19","30.6","-0.5","-5.9",0,"3061","-22.0"
"7i",,,"111.2","124.7","155.9","12.4","-1.6","11.3","5.1","125.4","1.24","29.9","-5.4","-5.1",0,"6102","10.1"
"7i",,,"115.2","128.3","148.4","18.7","-6.2","15.6","-19.3","120.0","1.24","35.2","0.5","-4.9",0,"3677","-12.4"
"7i",,,"114.5","124.9","146.7","24.1","1.5","21.8","8.2","127.2","1.15","44.5","-2.9","-3.7",0,"4422","5.1"
