"Club Type","Club Brand","Club Model","Carry Distance","Total Distance","Ball Speed","Launch Angle","Launch Direction","Apex","Side Carry","Club Speed","Smash Factor","Descent Angle","Attack Angle","Club Path","Club Data Est Type","Spin Rate","Spin Axis"
"7i",,,"103.5","118.8","142.0","16.1","-4.9","11.9","-8.4","111.1","1.28","31.0","-5.4","-2.6",0,"4361","-1.4"
"7i",,,"97.9","106.5","136.6","20.3","0.2","15.0","2.0","109.3","1.25","38.4","-5.2","-3.1",0,"6793","0.9"
"7i",,,"78.5","91.5","122.9","17.2","-2.1","8.5","4.7","104.8","1.17","28.1","-7.2","-7.9",0,"4766","19.3"
"7i",,,"89.7","103.8","131.0","16.6","-2.7","10.0","-1.0","107.5","1.22","29.6","-5.5","-3.0",0,"4664","5.1"
"7i",,,"83.7","94.7","128.8","15.8","-0.9","8.8","5.2","112.0","1.15","28.3","-6.8","-4.4",0,"5850","13.6"
"7i",,,"83.7","96.4","125.4","18.0","-2.0","9.9","2.1","108.4","1.16","30.5","-6.0","-5.5",0,"4919","10.0"
"7i",,,"97.5","106.9","137.7","18.3","-3.6","13.3","-1.6","112.9","1.22","35.6","-10.9","-7.7",0,"6669","5.9"
"7i",,,"96.5","107.4","137.7","16.6","-0.0","11.5","5.0","112.0","1.23","32.1","-4.0","-1.6",0,"5653","7.4"
"7i",,,"99.2","111.9","135.1","19.2","-0.9","13.2","-1.3","109.3","1.24","34.1","-3.9","-1.6",0,"4091","-1.7"
"7i",,,"72.5","107.5","140.1","11.2","-5.6","4.0","-5.3","113.8","1.23","13.8","-5.8","-5.3",0,"1011","8.6"
"7i",,,"103.8","114.4","141.4","18.8","-1.8","14.6","-6.4","113.8","1.24","36.4","-0.8","1.0",0,"5188","-7.0"
"7i",,,"112.6","123.8","149.3","17.9","-3.4","15.8","-1.5","112.9","1.32","37.0","-6.3","-4.4",0,"5110","5.2"
"7i",,,"108.5","118.1","145.8","20.0","0.5","17.1","9.4","114.7","1.27","39.8","-4.5","-3.2",0,"5865","10.4"
"7i",,,"114.7","125.9","148.7","20.2","-5.5","18.2","-11.8","112.9","1.32","40.0","-3.6","-3.2",0,"4744","-2.9"
"7i",,,"81.6","96.1","131.8","12.9","-4.5","6.8","-0.2","112.9","1.17","23.2","-10.4","-7.8",0,"5130","14.4"
"7i",,,"84.9","103.5","126.8","17.9","-5.5","8.7","-11.6","110.2","1.15","25.8","-1.2","-1.4",0,"2272","-15.9"
"7i",,,"111.4","117.5","151.0","21.1","-2.5","19.9","-10.4","116.4","1.30","43.5","-3.4","-2.6",0,"8248","-8.8"
"7i",,,"123.0","134.8","155.2","20.0","-2.4","19.8","1.7","114.7","1.35","40.7","-3.6","-0.8",0,"4450","6.4"
"7i",,,"113.9","127.2","148.3","17.6","-5.1","14.5","-14.0","112.0","1.32","33.8","-3.9","-2.0",0,"3831","-8.2"
"7i",,,"114.1","136.2","148.5","19.5","-3.0","12.4","-6.7","112.9","1.32","26.9","-3.4","-1.6",0,"1053","-6.6"
"7i",,,"109.0","122.2","143.7","18.3","-6.6","14.5","-9.3","112.0","1.28","34.7","-5.5","-6.6",0,"4060","3.0"
"7i",,,"102.7","117.3","140.1","16.9","-8.3","11.7","-17.1","112.0","1.25","30.3","-6.7","-4.7",0,"3599","-6.9"
"7i",,,"122.0","133.5","154.4","20.8","-4.0","20.6","-9.1","114.7","1.35","42.0","-3.8","-2.2",0,"4597","-2.4"
"7i",,,"110.0","118.7","147.4","21.7","-1.3","18.9","11.1","114.7","1.29","42.2","-4.1","-3.0",0,"5897","17.3"
"7i",,,"106.0","123.9","142.1","18.0","-5.3","12.1","-16.0","110.2","1.29","29.7","-0.6","-0.4",0,"2735","-15.8"
"7i",,,"122.0","133.8","155.5","18.7","-6.3","18.1","-22.0","115.6","1.35","38.7","-2.9","-1.5",0,"4372","-12.7"
"7i",,,"113.3","123.8","148.3","20.4","-3.4","18.2","-6.6","112.0","1.32","40.4","-4.9","-5.5",0,"5050","-1.5"
"7i",,,"113.0","122.6","148.2","22.0","-0.9","20.2","2.1","115.6","1.28","43.1","-3.3","-4.0",0,"5495","3.5"
